modelo,n_frases_gold,n_frases_pred,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact,n_erros_parsing,n_pred_sem_match,n_gold_sem_cobertura
Grok4.0Fast,262,262,0.5079365079365079,0.4496487119437939,0.4770186335403726,0.43915343915343913,0.38875878220140514,0.4124223602484472,0,0,0
Claude_Sonnet5,262,262,0.26397919375812745,0.47540983606557374,0.3394648829431438,0.2223667100130039,0.40046838407494145,0.2859531772575251,0,0,0
respostas_gpt5.5_mini,262,262,0.23890784982935154,0.4918032786885246,0.3215926493108729,0.18885096700796358,0.38875878220140514,0.2542113323124043,0,0,0
