modelo,n_frases_gold,n_frases_pred,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact,n_erros_parsing,n_pred_sem_match,n_gold_sem_cobertura
respostaGrok4.0Fast,262,262,0.5435435435435435,0.4238875878220141,0.4763157894736842,0.43843843843843844,0.34192037470725994,0.38421052631578945,0,0,0
LlamaPortOIE3,262,262,0.35353535353535354,0.4098360655737705,0.3796095444685466,0.2383838383838384,0.27634660421545665,0.2559652928416486,0,0,0
respostas_gpt5.5_mini,262,262,0.30678466076696165,0.48711943793911006,0.3764705882352941,0.2448377581120944,0.38875878220140514,0.3004524886877828,0,1,1
Claude_Sonnet5,262,262,0.24608501118568232,0.5152224824355972,0.33308099924299767,0.21029082774049218,0.44028103044496486,0.2846328538985617,0,0,0
respostasGemini3.1Pro,262,262,0.24507389162561577,0.46604215456674475,0.321226795803067,0.2044334975369458,0.38875878220140514,0.2679580306698951,0,0,0
Qwen3OIE_0_6B,262,262,0.19745222929936307,0.43559718969555034,0.2717311906501096,0.1602972399150743,0.35362997658079626,0.22059897735573408,0,0,0
Qwen3OIE_4B,262,262,0.18606870229007633,0.4566744730679157,0.26440677966101694,0.14790076335877864,0.3629976580796253,0.21016949152542375,0,0,0
PortNOIE,262,262,0.27205882352941174,0.17330210772833723,0.21173104434907006,0.12867647058823528,0.08196721311475409,0.10014306151645207,0,0,0
