modelo,n_frases_gold,n_frases_pareadas,cobertura,precisao_lexical,recall_lexical,f1_lexical,categoria
Claude_Sonnet5,262,259,0.9885496183206107,0.1941112322791712,0.42280285035629456,0.26606875934230195,AbstractiveOpenIE
respostaGrok4.0Fast,262,243,0.9274809160305344,0.48348348348348347,0.40759493670886077,0.44230769230769224,AbstractiveOpenIE
respostas_gpt5.5_mini,262,253,0.9656488549618321,0.23552123552123552,0.44634146341463415,0.3083403538331929,AbstractiveOpenIE
respostasGemini3.1Pro,262,260,0.9923664122137404,0.2223463687150838,0.4693396226415094,0.3017437452615618,AbstractiveOpenIE
Claude_Sonnet5,262,262,1.0,0.20867526377491208,0.4168618266978923,0.278125,ExtrativoDPTO-IE
respostaDPTOIE-PY,262,260,0.9923664122137404,0.20052770448548812,0.1792452830188679,0.1892901618929016,ExtrativoDPTO-IE
respostaGrok4.0Fast,262,262,1.0,0.48641304347826086,0.41920374707259955,0.45031446540880504,ExtrativoDPTO-IE
respostas_gpt5.5_mini,262,262,1.0,0.27007299270072993,0.4332552693208431,0.3327338129496402,ExtrativoDPTO-IE
respostasGemini3.1Pro,262,261,0.9961832061068703,0.22527472527472528,0.3867924528301887,0.28472222222222227,ExtrativoDPTO-IE
Claude_Sonnet5,262,262,1.0,0.24608501118568232,0.5152224824355972,0.33308099924299767,ExtrativoOIEC-PT
respostaGrok4.0Fast,262,262,1.0,0.5435435435435435,0.4238875878220141,0.4763157894736842,ExtrativoOIEC-PT
respostas_gpt5.5_mini,262,261,0.9961832061068703,0.30678466076696165,0.48826291079812206,0.37681159420289856,ExtrativoOIEC-PT
respostasGemini3.1Pro,262,262,1.0,0.24507389162561577,0.46604215456674475,0.321226795803067,ExtrativoOIEC-PT
Claude_Sonnet5,262,262,1.0,0.3003472222222222,0.405152224824356,0.34496510468594216,ExtrativoPTOIE-DP
PTOIE-Flair,262,212,0.8091603053435115,0.5800865800865801,0.391812865497076,0.4677137870855148,ExtrativoPTOIE-DP
respostaGrok4.0Fast,262,260,0.9923664122137404,0.23310344827586207,0.39952718676122934,0.29442508710801396,ExtrativoPTOIE-DP
respostas_gpt5.5_mini,262,262,1.0,0.22792362768496421,0.44730679156908665,0.30197628458498027,ExtrativoPTOIE-DP
respostasGemini3.1Pro,262,262,1.0,0.19454770755885997,0.36768149882903983,0.2544570502431118,ExtrativoPTOIE-DP
