modelo,batch,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact
Claude_Sonnet5,1,0.42857142857142855,0.375,0.39999999999999997,0.35714285714285715,0.3125,0.3333333333333333
Claude_Sonnet5,2,0.12,0.25,0.16216216216216217,0.08,0.16666666666666666,0.10810810810810811
Claude_Sonnet5,3,0.07692307692307693,0.2222222222222222,0.1142857142857143,0.0,0.0,0.0
Claude_Sonnet5,4,0.15,0.25,0.18749999999999997,0.1,0.16666666666666666,0.125
Claude_Sonnet5,5,0.3333333333333333,0.375,0.35294117647058826,0.1111111111111111,0.125,0.11764705882352941
Claude_Sonnet5,6,0.13043478260869565,0.3,0.18181818181818182,0.08695652173913043,0.2,0.12121212121212122
Claude_Sonnet5,7,0.2,0.25,0.22222222222222224,0.16,0.2,0.17777777777777778
Claude_Sonnet5,8,0.17391304347826086,0.23529411764705882,0.19999999999999998,0.08695652173913043,0.11764705882352941,0.09999999999999999
Claude_Sonnet5,9,0.13043478260869565,0.2,0.15789473684210528,0.08695652173913043,0.13333333333333333,0.10526315789473685
Claude_Sonnet5,10,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.21428571428571427,0.3333333333333333,0.2608695652173913
Gemini3.1Pro,1,0.5,0.4375,0.4666666666666667,0.35714285714285715,0.3125,0.3333333333333333
Gemini3.1Pro,2,0.15789473684210525,0.25,0.1935483870967742,0.10526315789473684,0.16666666666666666,0.12903225806451615
Gemini3.1Pro,3,0.18181818181818182,0.2222222222222222,0.19999999999999998,0.0,0.0,0.0
Gemini3.1Pro,4,0.1875,0.25,0.21428571428571427,0.125,0.16666666666666666,0.14285714285714288
Gemini3.1Pro,5,0.375,0.375,0.375,0.125,0.125,0.125
Gemini3.1Pro,6,0.21052631578947367,0.4,0.27586206896551724,0.10526315789473684,0.2,0.13793103448275862
Gemini3.1Pro,7,0.2,0.2,0.20000000000000004,0.2,0.2,0.20000000000000004
Gemini3.1Pro,8,0.1111111111111111,0.17647058823529413,0.13636363636363638,0.037037037037037035,0.058823529411764705,0.04545454545454545
Gemini3.1Pro,9,0.2222222222222222,0.26666666666666666,0.2424242424242424,0.1111111111111111,0.13333333333333333,0.1212121212121212
Gemini3.1Pro,10,0.25,0.3333333333333333,0.28571428571428575,0.16666666666666666,0.2222222222222222,0.1904761904761905
Grok4.0Fast,1,0.3333333333333333,0.3125,0.3225806451612903,0.3333333333333333,0.3125,0.3225806451612903
Grok4.0Fast,2,0.13043478260869565,0.25,0.1714285714285714,0.08695652173913043,0.16666666666666666,0.11428571428571427
Grok4.0Fast,3,0.14285714285714285,0.3333333333333333,0.2,0.0,0.0,0.0
Grok4.0Fast,4,0.3125,0.4166666666666667,0.35714285714285715,0.1875,0.25,0.21428571428571427
Grok4.0Fast,5,0.4,0.375,0.38709677419354843,0.13333333333333333,0.125,0.12903225806451615
Grok4.0Fast,6,0.125,0.3,0.17647058823529413,0.08333333333333333,0.2,0.11764705882352941
Grok4.0Fast,7,0.35,0.35,0.35,0.25,0.25,0.25
Grok4.0Fast,8,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.11764705882352941
Grok4.0Fast,9,0.3,0.2,0.24,0.2,0.13333333333333333,0.16
Grok4.0Fast,10,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.23529411764705882,0.4444444444444444,0.30769230769230765
PTOIE-Flair,1,0.6,0.375,0.4615384615384615,0.6,0.375,0.4615384615384615
PTOIE-Flair,2,0.5,0.4166666666666667,0.45454545454545453,0.5,0.4166666666666667,0.45454545454545453
PTOIE-Flair,3,0.42857142857142855,0.3333333333333333,0.375,0.2857142857142857,0.2222222222222222,0.25
PTOIE-Flair,4,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.2222222222222222
PTOIE-Flair,5,0.7777777777777778,0.4375,0.56,0.6666666666666666,0.375,0.4800000000000001
PTOIE-Flair,6,0.25,0.3,0.2727272727272727,0.16666666666666666,0.2,0.1818181818181818
PTOIE-Flair,7,0.6666666666666666,0.3,0.41379310344827586,0.4444444444444444,0.2,0.2758620689655173
PTOIE-Flair,8,0.625,0.29411764705882354,0.4,0.5,0.23529411764705882,0.31999999999999995
PTOIE-Flair,9,0.5,0.3333333333333333,0.4,0.4,0.26666666666666666,0.32
PTOIE-Flair,10,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.16666666666666666,0.1111111111111111,0.13333333333333333
respostas_gpt5.5_mini,1,0.29411764705882354,0.3125,0.30303030303030304,0.29411764705882354,0.3125,0.30303030303030304
respostas_gpt5.5_mini,2,0.125,0.3333333333333333,0.18181818181818182,0.0625,0.16666666666666666,0.09090909090909091
respostas_gpt5.5_mini,3,0.05555555555555555,0.1111111111111111,0.07407407407407407,0.0,0.0,0.0
respostas_gpt5.5_mini,4,0.17647058823529413,0.25,0.20689655172413793,0.058823529411764705,0.08333333333333333,0.06896551724137931
respostas_gpt5.5_mini,5,0.3684210526315789,0.4375,0.39999999999999997,0.15789473684210525,0.1875,0.17142857142857143
respostas_gpt5.5_mini,6,0.15,0.3,0.2,0.05,0.1,0.06666666666666667
respostas_gpt5.5_mini,7,0.21052631578947367,0.2,0.20512820512820512,0.15789473684210525,0.15,0.15384615384615385
respostas_gpt5.5_mini,8,0.2222222222222222,0.23529411764705882,0.22857142857142856,0.1111111111111111,0.11764705882352941,0.11428571428571428
respostas_gpt5.5_mini,9,0.13636363636363635,0.2,0.16216216216216214,0.09090909090909091,0.13333333333333333,0.10810810810810811
respostas_gpt5.5_mini,10,0.26666666666666666,0.4444444444444444,0.33333333333333337,0.2,0.3333333333333333,0.25
