modelo,n_frases_gold_total,n_frases_pred,n_frases_pareadas,n_triplas_gold_total,n_triplas_gold_pareadas,n_triplas_pred,media_triplas_gold_por_frase,media_triplas_pred_por_frase,razao_pred_gold
respostas_gpt5.5_mini,262,262,262,427,427,838,1.6297709923664123,3.198473282442748,1.9625292740046838
respostasGemini3.1Pro,262,262,262,427,427,807,1.6297709923664123,3.0801526717557253,1.8899297423887589
respostaGrok4.0Fast,262,262,260,427,423,725,1.626923076923077,2.7884615384615383,1.7139479905437351
Claude_Sonnet5,262,262,262,427,427,576,1.6297709923664123,2.198473282442748,1.3489461358313817
