modelo,n_frases_gold,n_frases_pred,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact,n_erros_parsing,n_pred_sem_match,n_gold_sem_cobertura
respostaGrok4.0Fast,262,262,0.48348348348348347,0.3770491803278688,0.4236842105263158,0.37537537537537535,0.2927400468384075,0.3289473684210526,0,3,3
respostas_gpt5.5_mini,262,255,0.23552123552123552,0.42857142857142855,0.30398671096345514,0.16731016731016732,0.3044496487119438,0.2159468438538206,0,0,7
respostasGemini3.1Pro,262,262,0.2223463687150838,0.46604215456674475,0.3010590015128593,0.17653631284916202,0.3700234192037471,0.23903177004538578,3,0,0
Claude_sonnet5,262,262,0.1941112322791712,0.4168618266978923,0.26488095238095244,0.0916030534351145,0.19672131147540983,0.125,0,0,0
