modelo,n_frases_gold,n_frases_pred,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact,n_erros_parsing,n_pred_sem_match,n_gold_sem_cobertura
Claude_Sonnet5,262,262,0.3003472222222222,0.405152224824356,0.34496510468594216,0.1909722222222222,0.2576112412177986,0.2193419740777667,0,0,0
respostas_gpt5.5_mini,262,262,0.22792362768496421,0.44730679156908665,0.30197628458498027,0.15990453460620524,0.31381733021077285,0.21185770750988142,0,0,0
respostaGrok4.0Fast,262,262,0.23310344827586207,0.3957845433255269,0.2934027777777778,0.15862068965517243,0.2693208430913349,0.1996527777777778,0,2,2
respostasGemini3.1Pro,262,262,0.19454770755885997,0.36768149882903983,0.2544570502431118,0.1090458488228005,0.20608899297423888,0.14262560777957858,0,0,0
