modelo,n_frases_gold_total,n_frases_pred,n_frases_pareadas,n_triplas_gold_total,n_triplas_gold_pareadas,n_triplas_pred,media_triplas_gold_por_frase,media_triplas_pred_por_frase,razao_pred_gold
Claude_sonnet5,262,262,262,427,427,917,1.6297709923664123,3.5,2.1475409836065573
respostasGemini3.1Pro,262,262,262,427,427,895,1.6297709923664123,3.4160305343511452,2.0960187353629975
respostas_gpt5.5_mini,262,255,255,427,414,777,1.6235294117647059,3.0470588235294116,1.8768115942028984
respostaGrok4.0Fast,262,262,259,427,422,333,1.6293436293436294,1.2857142857142858,0.7890995260663507
