modelo,n_frases_gold,n_frases_pred,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact,n_erros_parsing,n_pred_sem_match,n_gold_sem_cobertura
respostaGrok4.0Fast,262,262,0.48641304347826086,0.41920374707259955,0.45031446540880504,0.38858695652173914,0.33489461358313816,0.35974842767295595,0,0,0
PTOIE-Flair,262,262,0.5800865800865801,0.31381733021077285,0.4072948328267477,0.4805194805194805,0.25995316159250587,0.3373860182370821,0,0,0
respostas_gpt5.5_mini,262,262,0.27007299270072993,0.4332552693208431,0.3327338129496402,0.19854014598540146,0.3185011709601874,0.2446043165467626,0,0,0
respostasGemini3.1Pro,262,262,0.22527472527472528,0.3840749414519906,0.283982683982684,0.1401098901098901,0.2388758782201405,0.17662337662337663,0,1,1
Claude_Sonnet5,262,262,0.20867526377491208,0.4168618266978923,0.278125,0.13716295427901523,0.27400468384074944,0.18281250000000002,0,0,0
respostaDPTOIE-PY,262,260,0.2129032258064516,0.15456674473067916,0.17910447761194032,0.0967741935483871,0.0702576112412178,0.08141112618724558,0,45,47
