modelo,n_frases_gold,n_frases_pred,precisao_lexical,recall_lexical,f1_lexical,precisao_exact,recall_exact,f1_exact,n_erros_parsing
respostaGrok4.0Fast,262,262,0.5435435435435435,0.4238875878220141,0.4763157894736842,0.43843843843843844,0.34192037470725994,0.38421052631578945,0
respostas_gpt5.5_mini_OIEC-PT,262,262,0.3069016152716593,0.4894613583138173,0.37725631768953066,0.24522760646108663,0.3911007025761124,0.3014440433212996,0
Claude_Sonnet5,262,262,0.24608501118568232,0.5152224824355972,0.33308099924299767,0.21029082774049218,0.44028103044496486,0.2846328538985617,0
respostasGemini3.1ProOIEC,262,262,0.24507389162561577,0.46604215456674475,0.321226795803067,0.2044334975369458,0.38875878220140514,0.2679580306698951,0
